# chl_car	water	dry_albino	lignin_cellulose	protein
0	6.29E-07	0	2.08E-08	0.00E+00
0	7.45E-07	0	8.61E-08	0.00E+00
0	8.64E-07	0	1.22E-07	0.00E+00
0	1.05E-06	0	1.88E-07	0.00E+00
0	1.23E-06	0	2.51E-07	0.00E+00
0	1.50E-06	0	3.55E-07	0.00E+00
0	1.73E-06	0	4.12E-07	0.00E+00
0	2.25E-06	0	4.21E-07	0.00E+00
0	2.70E-06	0	5.27E-07	0.00E+00
0	3.06E-06	0	6.65E-07	0.00E+00
0	3.16E-06	0	8.26E-07	0.00E+00
0	3.32E-06	0	1.02E-06	0.00E+00
0	3.36E-06	0	1.15E-06	0.00E+00
0	3.36E-06	0	1.29E-06	0.00E+00
0	3.40E-06	0	1.50E-06	0.00E+00
0	3.49E-06	0	1.78E-06	0.00E+00
0	3.54E-06	0	1.90E-06	0.00E+00
0	3.52E-06	0	2.02E-06	0.00E+00
0	3.52E-06	0	2.08E-06	0.00E+00
0	3.52E-06	0	2.00E-06	0.00E+00
0	3.45E-06	0	1.86E-06	0.00E+00
0	3.49E-06	0	1.70E-06	0.00E+00
0	3.43E-06	0	1.53E-06	0.00E+00
0	3.40E-06	0	1.34E-06	0.00E+00
0	3.36E-06	0	1.19E-06	0.00E+00
0	3.33E-06	0	1.06E-06	0.00E+00
0	3.28E-06	0	9.74E-07	0.00E+00
0	3.24E-06	0	8.73E-07	0.00E+00
0	3.22E-06	0	8.02E-07	0.00E+00
0	3.22E-06	0	7.07E-07	0.00E+00
0	3.16E-06	0	6.30E-07	0.00E+00
0	3.16E-06	0	6.12E-07	0.00E+00
0	3.19E-06	0	5.40E-07	2.35E-06
0	3.26E-06	0	4.38E-07	4.53E-06
0	3.28E-06	0	3.34E-07	4.61E-06
0	3.39E-06	0	2.44E-07	2.35E-06
0	3.49E-06	0	2.26E-07	3.45E-06
0	3.71E-06	0	2.00E-07	4.46E-06
0	3.89E-06	0	1.43E-07	5.54E-06
0	4.13E-06	0	1.46E-07	5.06E-06
0	4.42E-06	0	8.91E-08	4.21E-06
0	4.82E-06	0	9.56E-08	4.11E-06
0	5.25E-06	0	1.43E-07	3.20E-06
0	5.75E-06	0	2.26E-07	1.76E-06
0	6.32E-06	0	3.11E-07	7.58E-07
0	6.88E-06	0	4.51E-07	1.85E-06
0	7.55E-06	0	7.19E-07	1.68E-06
0	8.08E-06	0	9.92E-07	2.70E-06
0	8.59E-06	0	1.31E-06	4.79E-06
0	9.12E-06	0	1.72E-06	7.15E-06
0	9.61E-06	0	2.18E-06	4.96E-06
0	1.03E-05	0	2.39E-06	1.85E-06
0	1.13E-05	0	2.52E-06	1.85E-06
0	1.29E-05	0	2.65E-06	6.80E-06
0	1.53E-05	0	2.93E-06	8.41E-06
0	1.91E-05	0	3.01E-06	1.00E-05
0	2.46E-05	0	3.17E-06	1.06E-05
0	3.15E-05	0	3.52E-06	1.22E-05
0	3.93E-05	0	4.25E-06	1.34E-05
0	4.66E-05	0	5.38E-06	1.74E-05
0	5.36E-05	0	7.07E-06	2.17E-05
0	5.90E-05	0	9.27E-06	2.55E-05
0	6.35E-05	0	1.16E-05	1.98E-05
0	6.78E-05	0	1.37E-05	3.66E-05
0	6.99E-05	0	1.53E-05	4.13E-05
0	7.21E-05	0	1.64E-05	4.74E-05
0	7.39E-05	0	1.70E-05	5.83E-05
0	7.59E-05	0	1.72E-05	7.10E-05
0	7.42E-05	0	1.72E-05	6.61E-05
0	7.48E-05	0	1.70E-05	6.37E-05
0	7.51E-05	0	1.69E-05	7.83E-05
0	7.32E-05	0	1.69E-05	7.92E-05
0	6.99E-05	0	1.67E-05	7.87E-05
0	6.71E-05	0	1.66E-05	8.46E-05
0	6.35E-05	0	1.65E-05	8.80E-05
0	6.09E-05	0	1.64E-05	1.05E-04
0	5.79E-05	0	1.62E-05	1.17E-04
0	5.46E-05	0	1.59E-05	1.27E-04
0	5.15E-05	0	1.56E-05	1.32E-04
0	4.85E-05	0	1.53E-05	1.35E-04
0	4.57E-05	0	1.48E-05	1.29E-04
0	4.31E-05	0	1.46E-05	1.32E-04
0	4.10E-05	0	1.44E-05	1.40E-04
0	3.88E-05	0	1.42E-05	1.32E-04
0	3.63E-05	0	1.40E-05	1.27E-04
0	3.49E-05	0	1.40E-05	1.37E-04
0	3.30E-05	0	1.39E-05	1.29E-04
0	3.15E-05	0	1.38E-05	1.29E-04
0	3.00E-05	0	1.37E-05	1.29E-04
0	2.85E-05	0	1.37E-05	1.20E-04
0	2.73E-05	0	1.37E-05	1.20E-04
0	2.60E-05	0	1.35E-05	1.24E-04
0	2.49E-05	0	1.34E-05	1.27E-04
0	2.42E-05	0	1.34E-05	1.35E-04
0	2.32E-05	0	1.32E-05	1.32E-04
0	2.25E-05	0	1.29E-05	1.32E-04
0	2.17E-05	0	1.27E-05	1.32E-04
0	2.10E-05	0	1.23E-05	1.27E-04
0	2.06E-05	0	1.19E-05	1.35E-04
0	2.00E-05	0	1.16E-05	1.27E-04
0	1.95E-05	0	1.13E-05	1.27E-04
0	1.91E-05	0	1.12E-05	1.22E-04
0	1.87E-05	0	1.10E-05	1.24E-04
0	1.83E-05	0	1.10E-05	1.24E-04
0	1.81E-05	0	1.10E-05	1.29E-04
0	1.79E-05	0	1.10E-05	1.27E-04
0	1.75E-05	0	1.10E-05	1.14E-04
0	1.71E-05	0	1.12E-05	1.22E-04
0	1.70E-05	0	1.16E-05	1.20E-04
0	1.69E-05	0	1.21E-05	1.22E-04
0	1.65E-05	0	1.27E-05	1.22E-04
0	1.64E-05	0	1.32E-05	1.27E-04
0	1.63E-05	0	1.38E-05	1.42E-04
0	1.62E-05	0	1.42E-05	1.47E-04
0	1.61E-05	0	1.47E-05	1.67E-04
0	1.61E-05	0	1.53E-05	1.85E-04
0	1.61E-05	0	1.61E-05	2.05E-04
0	1.61E-05	0	1.67E-05	2.23E-04
0	1.61E-05	0	1.75E-05	2.43E-04
0	1.62E-05	0	1.82E-05	2.52E-04
0	1.63E-05	0	1.89E-05	2.50E-04
0	1.65E-05	0	1.93E-05	2.62E-04
0	1.69E-05	0	1.94E-05	2.70E-04
0	1.71E-05	0	1.94E-05	2.72E-04
0	1.76E-05	0	1.90E-05	2.82E-04
0	1.82E-05	0	1.86E-05	2.72E-04
0	1.87E-05	0	1.85E-05	2.72E-04
0	1.95E-05	0	1.85E-05	2.62E-04
0	2.00E-05	0	1.83E-05	2.60E-04
0	2.10E-05	0	1.81E-05	2.60E-04
0	2.17E-05	0	1.77E-05	2.48E-04
0	2.25E-05	0	1.72E-05	2.50E-04
0	2.32E-05	0	1.69E-05	2.33E-04
